Company/Brand,Sector,Stage,HeadQuarter,What it does,Amount($),Year
NewsReach,Media,Seed,Ahmedabad,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,300000.0,2021
Pencilton,FinTech,Pre-seed,Hyderabad,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.",330000.0,2021
Bandhoo,IT,Undisclosed,Gurugram,"Bringing ease of eCommerce to Construction for builders, infrastructure companies, contractors and workers",1000000.0,2021
ixigo,IT,Undisclosed,Gurugram,"AI-based travel app offering seamless planning and booking for flights, trains, buses, hotels and more!",53000000.0,2021
The Whole Truth,Food & Beverages,Series A,Mumbai,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",6000000.0,2021
Insane AI,Fitness,Seed,Bangalore,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,800000.0,2021
Learn4o Technology,E-Learning,Seed,Jaipur,"Trying to solve the problem of unemployment in young graduates, who, despite having college degrees, don't have the skills for the real world.",121793941.14254577,2021
Droom,Automobile,Undisclosed,Gurugram,"Droom is an AI and data science driven online transactional platform, which offers 21st century experience in buying & selling used & new automobiles in India",200000000.0,2021
Skymet,Environmental Services,Undisclosed,Noida,Provide services that allow clients to understand and organize themselves around changing environment.,1000000.0,2021
Go Swift,Consumer Services,Pre-series A,Bangalore,Help small & medium sized businesses to grow by helping them with their shipping requirements at the cheapest and most reliable service.,2000000.0,2021
Mamaearth,Health Care,Undisclosed,Gurugram,A brand which develops products from world-class research and attempts to solve every little problem that we as parents face.,50000000.0,2021
G.O.A.T,D2C,Series A,Bangalore,G.O.A.T Brand Labs provides a tech-enabled platform for D2C brands to scale.,36000000.0,2021
Keeros,Food & Beverages,Pre-series A,Lucknow,"Keeros Roasted Supersnacks that are Healthy for All, Safe for Diabetics.",121793941.14254577,2021
ReDesyn,Merchandise,Pre-series A,Mumbai,"Merchandise drop-shipping platform for influencers, designers, creators & brands.",300000.0,2021
Inspacco,Facilities Services,Undisclosed,Pune,"For residential commercial and industrial establishments , Inspacco is a one stop solution , that delivers affordable improvement and maintenance services",200000.0,2021
Knorish,EdTech,Pre-series A,Gurugram,"Saas platform offers a feature packed platform enables businesses, experts, professionals, artists, instructors, specialists, coaches, people seeking work from home opportunities",1000000.0,2021
Dozee,Health Care,Series A,Bangalore,"Dozee is India's only contactless health monitor that silently tracks your heart, respiration, sleep patterns, stress levels, cardiac contractions, apnea and more while you sleep.",5000000.0,2021
BlackBuck,Logistics & Supply Chain,Series E,Bangalore,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,67000000.0,2021
Mailmodo,Marketing & Advertising,Seed,Bangalore,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,2000000.0,2021
SuperBeings,Computer Software,Seed,Bangalore,"Continuous Leadership Development & Employee Engagement platform. Improve Leadership, Culture and Experience real-time.",121793941.14254577,2021
NirogStreet,Health Care,Series A,New Delhi,Nirogstreet as a concept is working to make #Ayurveda first call of treatment.,2500000.0,2021
Hyreo,Human Resources,Pre-series A,Thiruvananthapuram,Hyreo stands for delivering a ‘customer-like’ experience for candidates throughout the recruiting process.,121793941.14254577,2021
GODI Energy,Automotive,Undisclosed,Hyderabad,GODI is a technology innovation organization focused on the design and manufacturing of green energy storage solutions.,121793941.14254577,2021
Even,Health Care,Seed,Bangalore,One monthly subscription to cover all your healthcare needs.,5000000.0,2021
Captain Fresh,Logistics,Series A,Bangalore,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,12000000.0,2021
Otipy,Food & Beverages,Series A,Gurugram,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,10200000.0,2021
Lenskart,Eye Wear,Undisclosed,Faridabad,India's fastest growing eyewear company and largest eyewear company online.,220000000.0,2021
Eka.care,Health Care,Undisclosed,Bangalore,A digitally enabled and connected healthcare ecosystem for better health outcomes.,4500000.0,2021
Braingroom,EdTech,Undisclosed,Chennai,"BrainGroom is an online marketplace for educational, recreational & wellness classes with defined target segment, quantifiable outcomes & specified time duration.",200000.0,2021
Edvizo,Consumer Services,Pre-series A,Bangalore,"Edvizo is an online marketplace to help students and parents find, compare and enroll in the best and trusted private institutes in their locality",1000000.0,2021
Credenc,FinTech,Undisclosed,New Delhi,An education loan platform to finance meritorious students for the college expenses by underwriting future employability,25000000.0,2021
GlobalBees,D2C,Series A,New Delhi,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,150000000.0,2021
Spinny,Automotive,Series D,Gurugram,Spinny is a new age used car end-to-end platform in India.,108000000.0,2021
Mynvax,BioTechnology,Series A,Bangalore,Mynvax is a pre-clinical stage vaccine biotechnology. Current develop programs include a recombinant vaccine for human influenza and COVID19.,4000000.0,2021
RiseBird,Human Resources,Undisclosed,Pune,RiseBird provides on-demand 2.5K + expert video interviews and A.I. powered insights to help companies hire online.,500000.0,2021
Uvi Health,Health Care,Pre-seed,Bangalore,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,330000.0,2021
Vegrow,Farming,Undisclosed,Bangalore,Vegrow is in the business of fresh fruits & vegetables with addressable market size of $43 Billion.,13000000.0,2021
Automovill,Automotive,Undisclosed,Bangalore,"Automovill is a unique platform to aggregate automobile service providers, where we connect vehicle owners with all kind of automobile service providers under one roof.",500000.0,2021
NFTically,NFT Marketplace,Seed,Gurugram,"NFT Marketplace to buy or sell NFT tokens in minutes or set up your own NFT store, website, a storefront in minutes.",121793941.14254577,2021
HealthifyMe,Health Care,Series C,Bangalore,HealthifyMe is a revolutionary health and fitness application that is on a mission to transform a billion lives!,75000000.0,2021
GalaxyCard,FinTech,Undisclosed,Gurugram,GalaxyCard is a mobile based Instant Credit Card.,450000.0,2021
Bella Vita Organic,Health Care,Undisclosed,Gurugram,Bella Vita Organic or ‘The Good Life’ is dedicated to creating handcrafted and organic beauty solutions inspired by the natural elements of the earth and age old beauty best practices.,10000000.0,2021
SmartCoin,FinTech,Undisclosed,Bangalore,India's Most Preferred Instant Loan App,10000000.0,2021
CareerNinja,EdTech,Seed,Mumbai,"Careerninja Is A Funded, Early-stage Ed-tech Venture Building A Personalized Learning Platform To Help People Achieve Their Career Goals",121793941.14254577,2021
MYSUN,Solar,Undisclosed,New Delhi,"India's Largest Online Rooftop Solar Platform for SMEs, Industries & Homes",2000000.0,2021
Sea6 Energy,BioTechnology,Series B,Bangalore,"Sea6 Energy envisions a future where the abundant oceans will be our biomass farms of tomorrow - to provide solutions in energy, agriculture and food.",9000000.0,2021
Beco,Consumer Goods,Seed,Mumbai,"Eco-friendly home and kitchen care products that are plastic-free, high in quality and affordable.",500000.0,2021
OneCode,Internet,Undisclosed,Bangalore,"OneCode is a platform which connects new age digital first brands with ""relevant"" sellers (aka OneCoders) to sell their products and services",5000000.0,2021
MedPay,IT,Seed,Bangalore,MedPay® is building the real-time claims adjudication platform for health insurers.,1200000.0,2021
Inshorts,Internet,Undisclosed,Noida,Built Inshorts with a promise to deliver news,60000000.0,2021
Digantara,SpaceTech,Seed,Bangalore,"Digantara is an Indian Space Technology Company incubated at Indian Institute of Science (IISc), establishing a space-based surveillance platform with global realtime earth coverage",2500000.0,2021
Aqgromalin,AgriTech,Seed,Chennai,Aqgormalin is a tech driven farm diversification platform enabling farmers to diversify into Animal Husbandry and Aquaculture.,700000.0,2021
Square Yards,Real Estate,Undisclosed,Gurugram,India’s largest tech enabled Real Estate Brokerage and Mortgage Marketplace,25000000.0,2021
OYO,Hospitality,Undisclosed,Gurugram,OYO is a global platform that empowers entrepreneurs and small businesses with hotels and homes by providing full-stack technology,660000000.0,2021
Slang Labs,Computer Software,Undisclosed,Bangalore,Slang Labs provides accurate and multilingual in-app voice assistants for Android and web apps,121793941.14254577,2021
NirogGyan,Health Care,Seed,Gurugram,"Simplifying Diagnostics for labs, doctors, and people.",121793941.14254577,2021
Ola Electric,Automotive,Debt,Bangalore,Ola Electric - The future of mobility is here.? Charging ahead to accelerate the world’s transition to sustainable mobility.,100000000.0,2021
Bikry app,Consumer software,Undisclosed,Noida,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",1300000.0,2021
Oliveboard,EdTech,Undisclosed,Bangalore,Oliveboard is the top exam preparation platform for Banking & Government Exams.,3000000.0,2021
Little Leap,EdTech,Undisclosed,New Delhi,Soft Skills that make Smart Leaders,300000.0,2021
Trell,Social Commerce,Series B,Bangalore,India's Largest Lifestyle Social Commerce platform. Empowering millions of storytellers & Micro-Entrepreneurs.,45000000.0,2021
Kredent,EdTech,Undisclosed,Kolkata,Kredent Academy is the unique concept where financial market professionals have taken the onus of creating a strong knowledge bank in their area of expertise,1000000.0,2021
EasyAspataal,Health Care,Seed,Mumbai,India’s First Digital Admission Desk for Hospitalisation.,500000.0,2021
SMOOR,Food & Beverages,Undisclosed,Bangalore,Instigate your sixth sense with our new range of chocolates.,121793941.14254577,2021
Pankhuri,Social community,Undisclosed,Bangalore,"Pankhuri is a women's only community for members to socialize, explore and upskill through live interactive courses, expert chat and interest-based clubs.",3200000.0,2021
Arcana,IT,Seed,Bangalore,Arcana is the Storage Layer of Ethereum.,370000.0,2021
AdmitKard,EdTech,Undisclosed,Noida,A tech solution for end to end career advisory to students looking to study abroad.,121793941.14254577,2021
UrbanKisaan,Food & Beverages,Undisclosed,Hyderabad,A modern farms close to where your home is. Creating positive change at every step from seed to store ensuring quality and traceability.,121793941.14254577,2021
Aquaconnect,Fishery,Pre-series A,Chennai,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,4000000.0,2021
Vah Vah!,EdTech,Undisclosed,Bangalore,A mission to educate India and make its young and dynamic population job ready.,1800000.0,2021
LetsDressUp,Apparel & Fashion,Pre-series A,Gurugram,Building India's version of Stitch Fix,300000.0,2021
Sapio Analytics,Computer Software,Undisclosed,Mumbai,Aim to provide the most intelligent AI-powered policy making solutions for government institutions across the world.,150000.0,2021
BHyve,Human Resources,Undisclosed,Mumbai,A Future of Work Platform for diffusing Employee Tacit Knowledge and enabling Peer Learning Networks,300000.0,2021
Indi Energy,Renewables & Environment,Seed,Roorkee,"Indi Energy is an energy storage startup involved in R&D of next generation battery technologies, with superior performance than current counterparts.",121793941.14254577,2021
The Ayurveda Co,Consumer Goods,Undisclosed,Gurugram,The Ayurveda Co. represents things that are all Ayurvedic at heart and are suited for the contemporary landscape.,121793941.14254577,2021
Pratilipi,Online storytelling,Undisclosed,Bangalore,"Pratilipi is the largest Indian language self-publishing platform with over 350,000 authors and more than 28,000,000 unique monthly readers.",48000000.0,2021
Ati Motors,Automotive,Pre-series A,Bangalore,Autonomous industrial vehicle maker,35000000.0,2021
peAR,Deeptech,Pre-series A1,Mumbai,An AR / VR tech based Start-up in Mumbai.,300000.0,2021
Gourmet Garden,Farming,Undisclosed,Bangalore,"100% contamination free, pesticide free naturoponically grown vegetables.",3000000.0,2021
The Sleep Company,Consumer Goods,Pre-series A,Mumbai,Patent Pending sleep technology developed by actual Rocket Scientists and sleep experts after years of research.,1000000.0,2021
TyrePlex,B2B E-commerce,Seed,New Delhi,Tyreplex is digitizing the tyre dealers in India.,121793941.14254577,2021
ION Energy,Automotive,Pre-series A,Mumbai,Advanced Electronics & Software Supplier for Electric Vehicles & Battery Energy Storage,3600000.0,2021
Digit Insurance,Insurance Tech,Undisclosed,Bangalore,"Digit becomes the first Unicorn of 2021, valued at $1.9B.",200000000.0,2021
FRAAZO,Food & Beverages,Series A,Mumbai,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,11000000.0,2021
Licious,Food & Beverages,Series F,Bangalore,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.",192000000.0,2021
WinZO,Gaming,Series C,New Delhi,WinZO is the largest social gaming and entertainment platform in India.,65000000.0,2021
Furlenco,Consumer Goods,Undisclosed,Bangalore,Furlenco is a different furniture company.,100000000.0,2021
Skylark Drones,Aviation,Pre-series A,Bangalore,"Enterprise drone solutions that help plan, build, and sustain the world we live in.",3000000.0,2021
Leegality,IT,Pre-series A,Gurugram,"The market standard for eSign, eStamp and Document Workflow in India. Eliminating paper from paperwork since 2016",121793941.14254577,2021
Arcatron Mobility,Health Care,Undisclosed,Pune,Mission is to advance global standards of assisted living and make it dignified and safer.,121793941.14254577,2021
TWID,FinTech,Undisclosed,Bangalore,"TWID is shaping the future of Digital Currencies, delivering new-age fintech solutions",2500000.0,2021
PeakPerformer,EdTech,Early seed,Bangalore,"A goal-oriented, outcome-driven platform to make leadership coaching accessible to all.",121793941.14254577,2021
MyMobiForce,Internet,Pre-series A,Noida,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India",1400000.0,2021
Pine Labs,IT,Undisclosed,Noida,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,600000.0,2021
Genworks Health,Health Care,Undisclosed,Bangalore,GENWORKS Health is an initiative by GE for empowering healthcare professionals operating in the rural areas to deliver better medical facilities and diagnostics while keeping things affordable.,2000000.0,2021
Pocketly,FinTech,Undisclosed,Bangalore,"Pocketly provides quick cash on hand, anytime - anywhere!",121793941.14254577,2021
Neverinstall,IT,Seed,Bangalore,A cloud platform to bring any GUI application regardless of OS and Device type to the browser.,370000.0,2021
CoRover,IT,Undisclosed,Bangalore,CoRover is the world’s first and the highest ROI delivering human-centric conversational AI platform.,121793941.14254577,2021
BeatO,Health Care,Pre-series B,New Delhi,ULTIMATE app to manage chronic conditions.,5000000.0,2021
Earth Rhythm,Cosmetics,Seed,Gurugram,A mission to make customers healthier and Earth a little greener.,1200000.0,2021
Fountain9,Computer Software,Seed,Mumbai,"Fountain9 is a Y Combinator backed company, which offers predictive inventory planning and optimization software for e-commerce, DTC and retail companies.",1900000.0,2021
Rockclimber,Food & Beverages,Undisclosed,Bangalore,RockClimber is a new age beverage brand with a portfolio of alcoholic and non alcoholic drinks.,1000000.0,2021
SpEd@home,EdTech,Undisclosed,Mumbai,"Provide Remediation, Occupational Therapy, Speech Therapy and Socio-emotional coaching for children with Learning Disabilities like Dyslexia, Dysgraphia, Dyscalculia",300000.0,2021
CanPe,Computer Software,Seed,Bangalore,"Digital-first debt collections platform that is driven by compassion, and powered by AI.",121793941.14254577,2021
Green Soul,Consumer Goods,Undisclosed,Ambernath,Green Soul is No.1 brand on Amazon India in Ergonomic chairs category in terms of customer reviews.,200000.0,2021
Shiprocket,Logistics,Series D1,New Delhi,India's #1 eCommerce Logistics and Shipping Solution Empowering over 1 Lakh Indian eCommerce Sellers.,41000000.0,2021
DealShare,Retail,Undisclosed,Bangalore,The next generation disruptive (social) e-commerce product for the masses.,144000000.0,2021
Teachmint,EdTech,Pre-series B,Bangalore,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,20000000.0,2021
Vahak,Transport,Pre-series A,Bangalore,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,5000000.0,2021
goSTOPS,Hospitality,Pre-series A,New Delhi,goSTOPS aims to be India’s biggest and most loved backpacker hostel brand.,1000000.0,2021
Codedamn,Computer Software,Pre-seed,New Delhi,Codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,121793941.14254577,2021
Biocraft Innovation Technology,Environmental Services,Pre-seed,Noida,Innovation startup developing bamboo resources of India to be used in industrial use by developing injection moulding granules,121793941.14254577,2021
Powerplay,Construction,Undisclosed,Bangalore,Powerplay helps simplify end to end Construction and Architecture project management.,5200000.0,2021
Accio Robotics,Industrial Automation,Undisclosed,Bangalore,Accio Robotics is involved in the designing and manufacturing of state-of-the-art Robotics Automation solutions.,121793941.14254577,2021
Delhivery,Logistics,Series H,Gurugram,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.",270000000.0,2021
Avishkaar,EdTech,Pre-series A,New Delhi,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,600000.0,2021
Jobsgaar,Job portal,Seed,New Delhi,India's first District level/ Hyper Local Job discovery platform,140000.0,2021
Almo,D2C Fashion,Seed,Gurugram,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,121793941.14254577,2021
Breathe Well-being,Health Care,Pre-series A,New Delhi,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,1000000.0,2021
GalaxEye,SpaceTech,Pre-seed,Chennai,GalaxEye enables businesses to make better Decisions & perform operations efficiently via Space Technology.,121793941.14254577,2021
Good Health Clinic,Health Care,Undisclosed,Hyderabad,Full Stack Digital Health Clinic,5000000.0,2021
Urban Company,Home services,Series F,New Delhi,Urban Company is an India-based company providing a marketplace for freelance labor.,250000000.0,2021
MYBYK,Rental,Pre-series A,Ahmadabad,MYBYK is an app that provides premium bicycle sharing and rental service.,1000000.0,2021
Locus,Logistics,Series C,Bangalore,Locus is an intelligent decision-making and automation platform for logistics.,50000000.0,2021
Crejo.Fun,EdTech,Seed,Bangalore,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,3000000.0,2021
Bambinos,EdTech,Seed,Bangalore,Cohort based extracurricular course for kids,500000.0,2021
KreditBee,FinTech,Undisclosed,Bangalore,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,8000000.0,2021
Spardha,EdTech,Pre-series A1,Pune,"Spardha School Of Music, Spardha Academy, Spardha Online are associated marks with Spardha Learnings Private Limited.",400000.0,2021
Onelife Nutriscience,Health Care,Undisclosed,Mumbai,Onelife Nutriscience is a consumer healthcare brands company.,121793941.14254577,2021
Flatheads,Fashion,Undisclosed,Bangalore,Flatheads is a lifestyle brand that designs and creates shoes from India for the world. Flatheads launched India's first bamboo footwear.,121793941.14254577,2021
Fable Fintech,FinTech,Series A,Mumbai,"Fable Fintech is being seed-funded by the CCAvenue Group, South East Asia’s number 1 eCommerce service provider",121793941.14254577,2021
Holisol,Logistics,Undisclosed,New Delhi,HoliSol Logistics Is a Supply Chain Operations Company!,3000000.0,2021
Now&Me,Health Care,Undisclosed,New Delhi,"Now&Me is a safe cocoon in the form of discussion forums, for you to let out your most intimate thoughts.",1000000.0,2021
Fyllo,AgriTech,Seed,Bangalore,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,400000.0,2021
Cora Health,Health Care,Undisclosed,Bangalore,Social Commerce Marketplace for health and wellness. Help people discover products suited to their health needs.,121793941.14254577,2021
Blaer Motors,Mobility,Undisclosed,Chennai,Meant to augment human power and not completely replace it,300000.0,2021
Swiflearn,EdTech,Pre-series A,Gurugram,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,3000000.0,2021
Cashfree,FinTech,Undisclosed,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,121793941.14254577,2021
QuickSell,E-Commerce,Pre-series A,Mumbai,B2B Mobile Commerce Platform,2000000.0,2021
Truemeds,Health Care,Series A,Mumbai,Truemeds is a health-tech startup.,5000000.0,2021
Candes,E-Commerce,Undisclosed,New Delhi,Candes is a home appliances company providing a complete range of home & kitchen electrical appliances at affordable prices.,3000000.0,2021
MediBuddy,Health Care,Undisclosed,Bangalore,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.",3000000.0,2021
F5,Food & Beverages,Pre-series A,New Delhi,F5 is a foods and beverages company.,300000.0,2021
Capital Float,FinTech,Undisclosed,Bangalore,Capital Float is an online platform that provides working capital finance to SMEs in India.,6000000.0,2021
IntelleWings,IT,Seed,Panchkula,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",100000.0,2021
Shyplite,Logistics,Undisclosed,New Delhi,Enable E-retailers to automate their logistics and increase efficiency in shipments by providing a single window shipping platform,1000000.0,2021
Refyne,FinTech,Series A,Bangalore,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to employees.,20000000.0,2021
Greenjoules,Renewable Energy,Series A,Pune,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,4500000.0,2021
MentorKart,Consulting,Seed,New Delhi,MentorKart™ helps to fulfil dreams and take that big step towards success.,150000.0,2021
Leverage Edu,EdTech,Debt,New Delhi,AI-enabled marketplace designed to help students with their higher education and career growth plans,2000000.0,2021
Kale Logistics,Logistics,Series A,Thane,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,5000000.0,2021
CustomerGlu,CRM,Undisclosed,Bangalore,CustomerGlu is a Low code Interactive Engagement platform to improve user stickiness.,320000.0,2021
Cell Propulsion,EV,Undisclosed,Bangalore,Cell Propulsion is a fleet electrification company developing solutions for large scale electrification of commercial vehicle fleets.,2000000.0,2021
Wellbeing Nutrition,Health Care,Undisclosed,Mumbai,Organic whole food nutrition to keep up with the pace at which we live,121793941.14254577,2021
Pee Safe,Health Care,Pre-series B,Gurugram,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,3000000.0,2021
Chqbook,FinTech,Undisclosed,New Delhi,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.",1000000.0,2021
SimpliContract,Software,Seed,Bangalore,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.",1800000.0,2021
Dropshop,Logistics,Pre-series A,Bangalore,Building technology to make distribution efficient and cheaper for large and small FMCG companies,1000000.0,2021
Jumbotail,E-Commerce,Debt,Bangalore,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,4000000.0,2021
BYJU'S,EdTech,Undisclosed,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,350000000.0,2021
Power Gummies,Nutrition,Undisclosed,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,1000000.0,2021
Convosight,SaaS,Series A,New Delhi,A mission - to help community builders become community entrepreneurs.,9000000.0,2021
Junio,FinTech,Seed,New Delhi,Junio is a kids-focused digital pocket money-smart card.,600000.0,2021
Wherehouse.io,Logistics,Seed,New Delhi,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.",121793941.14254577,2021
Flexmoney,FinTech,Series A,Mumbai,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",4800000.0,2021
Fampay,FinTech,Series A,Bangalore,India's first numberless card and UPI without a bank account,38000000.0,2021
Apna,Human Resources,Series B,Bangalore,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,70000000.0,2021
XYXX Apparels,Fashion,Series A,Surat,"XYXX Apparels,which runs an eponymous innerwear brand",4000000.0,2021
WaterScience,D2C,Undisclosed,Bangalore,The aim of making good water affordable and accessible.,121793941.14254577,2021
BrowserStack,SaaS,Series B,Mumbai,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,200000000.0,2021
Vital,Insurance Tech,Pre-series A,New Delhi,"An affordable, digital health plan built around to cover both big and small expenses",3000000.0,2021
Juicy chemistry,Health Care,Undisclosed,Coimbatore,Juicy Chemistry operates as an eponymous consumer brand.,121793941.14254577,2021
Samaaro,SaaS,Undisclosed,Bangalore,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience",125000.0,2021
Imagimake,Innovation Management,Pre-series A,Mumbai,An innovative play system to help children create their imagination,500000.0,2021
MSMEx,EdTech,Pre-series A,Andheri,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,1000000.0,2021
RenewBuy,Insurance Tech,Series C,Gurugram,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,45000000.0,2021
saarthi.ai,AI,Seed,Bangalore,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,121793941.14254577,2021
Kutumb,Community platform,Series A,Bangalore,Kutumb is a social community enabler.,26000000.0,2021
Superplum,AgriTech,Pre-series A,Noida,Building India's most sophisticated platform for high quality fresh food,3800000.0,2021
Upside AI,FinTech,Seed,Mumbai,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,1200000.0,2021
PazCare,Insurance Tech,Undisclosed,Bangalore,Paz Care is India's leading Employee Benefits & Health insurance platform,121793941.14254577,2021
Answer Genomics,Health Care,Undisclosed,Bangalore,A healthcare company that uses genome-based data to help individuals make decisions.,121793941.14254577,2021
Skillmatics,EdTech,Series A,Mumbai,Skillmatics develops learning games for pre-school and primary school kids aged under 10,6000000.0,2021
Bimaplan,Insurance Tech,Pre-series A,Bangalore,Affordable insurance for the next billion Indians,2500000.0,2021
Bueno Finance,FinTech,Seed,Gurugram,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.",3000000.0,2021
CityMall,E-Commerce,Series B,Gurugram,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,22000000.0,2021
BYJU’S,EdTech,Undisclosed,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,50000000.0,2021
India Quotient,Venture Capital,Undisclosed,Mumbai,India Quotient is a new type of early stage investor. We fund companies building disruptive businesses aimed at Indian consumers. We're,64000000.0,2021
The Switch Fix,Health Care,Seed,Gurugram,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,121793941.14254577,2021
Anvidha Technologies,Tech,Seed,Haryana,Anvidha Technologies Private Limited is a HARYANA based private ltd.,1500000.0,2021
DigiSparsh,FinTech,Seed,Mumbai,DigiSparsh is India's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,121793941.14254577,2021
CoffeeMug.ai,Networking,Pre-seed,New Delhi,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.",620000.0,2021
Pathfndr.io,SaaS,Pre-series A,Bangalore,Intelligent Travel Tech Stack making sense of the world's information by scanning billions of data points and ranking destinations,121793941.14254577,2021
BigLeap,Recruitment,Undisclosed,Hyderabad,BigLeap Technologies & Solutions is focused on providing viable offshore consultancy services for enterprises looking to grow their business.,600000.0,2021
Kazam,EV,Seed,Bangalore,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops",900000.0,2021
MYRE Capital,Commercial Real Estate,Undisclosed,Mumbai,Democratising Real Estate Ownership,121793941.14254577,2021
BimaPe,FinTech,Pre-seed,Mumbai,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',500000.0,2021
MicroDegree,EdTech,Undisclosed,Mangalore,MicroDegree is an ed-tech platform working towards democratising technology and job ready skills for Bharat.,121793941.14254577,2021
Saarthi Pedagogy,EdTech,Undisclosed,Ahmadabad,"India's fastest growing Pedagogy company, serving to school as an academic growth partner and provide 360° solutions to schools on Academic Strategies",1000000.0,2021
Synapsica,Health Care,Series A,New Delhi,Artificial Intelligence tools to make quality diagnostic assessment available for all.,4000000.0,2021
Kwik Foods,Food & Beverages,Seed,Gurugram,Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry,121793941.14254577,2021
Plutomen,AR,Undisclosed,Ahmadabad,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.,300000.0,2021
GoMechanic,Automotive,Series C,Gurugram,"GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free & easy for everyone.",42000000.0,2021
Grinntech,Automotive,Undisclosed,Chennai,"Grinntech is an investor backed, growth phase start-up, leading on all front of battery design for EV applications.",2000000.0,2021
Nobel Hygiene,Health Care,Undisclosed,Mumbai,"Nobel Hygiene is one of the leading disposable hygiene care products manufacturer in the country with an ISO 9001:2015 and CE certification, headquartered in Mumbai.",60000000.0,2021
Green Cure,Health Care,Pre-series A,New Delhi,World's first company to combine German Engineering with Indian Ayurveda in health products,121793941.14254577,2021
